sample_id,answer_changed,transition_group,stable_correct,broken,repaired,stable_wrong,stable_wrong_same,stable_wrong_different,gold_answer,clean_answer,swap_answer,clean_rationale_chars,swap_rationale_chars,clean_final_marker,swap_final_marker,skip_reason,clean_model_clean_rationale_clean_score_norm,clean_model_clean_rationale_clean_score_raw,clean_model_clean_rationale_clean_tokens,clean_model_clean_rationale_swap_score_norm,clean_model_clean_rationale_swap_score_raw,clean_model_clean_rationale_swap_tokens,clean_model_clean_rationale_gold_score_norm,clean_model_clean_rationale_gold_score_raw,clean_model_clean_rationale_gold_tokens,clean_model_clean_rationale_clean_minus_swap_margin_norm,clean_model_clean_rationale_clean_minus_swap_margin_raw,clean_model_swap_rationale_clean_score_norm,clean_model_swap_rationale_clean_score_raw,clean_model_swap_rationale_clean_tokens,clean_model_swap_rationale_swap_score_norm,clean_model_swap_rationale_swap_score_raw,clean_model_swap_rationale_swap_tokens,clean_model_swap_rationale_gold_score_norm,clean_model_swap_rationale_gold_score_raw,clean_model_swap_rationale_gold_tokens,clean_model_swap_rationale_clean_minus_swap_margin_norm,clean_model_swap_rationale_clean_minus_swap_margin_raw,direct_swap_model_clean_rationale_clean_score_norm,direct_swap_model_clean_rationale_clean_score_raw,direct_swap_model_clean_rationale_clean_tokens,direct_swap_model_clean_rationale_swap_score_norm,direct_swap_model_clean_rationale_swap_score_raw,direct_swap_model_clean_rationale_swap_tokens,direct_swap_model_clean_rationale_gold_score_norm,direct_swap_model_clean_rationale_gold_score_raw,direct_swap_model_clean_rationale_gold_tokens,direct_swap_model_clean_rationale_clean_minus_swap_margin_norm,direct_swap_model_clean_rationale_clean_minus_swap_margin_raw,direct_swap_model_swap_rationale_clean_score_norm,direct_swap_model_swap_rationale_clean_score_raw,direct_swap_model_swap_rationale_clean_tokens,direct_swap_model_swap_rationale_swap_score_norm,direct_swap_model_swap_rationale_swap_score_raw,direct_swap_model_swap_rationale_swap_tokens,direct_swap_model_swap_rationale_gold_score_norm,direct_swap_model_swap_rationale_gold_score_raw,direct_swap_model_swap_rationale_gold_tokens,direct_swap_model_swap_rationale_clean_minus_swap_margin_norm,direct_swap_model_swap_rationale_clean_minus_swap_margin_raw,clean_model_rationale_effect_norm,direct_swap_model_rationale_effect_norm,model_effect_clean_rationale_norm,model_effect_swap_rationale_norm,clean_model_rationale_effect_raw,direct_swap_model_rationale_effect_raw,model_effect_clean_rationale_raw,model_effect_swap_rationale_raw
mgsm_0010,True,repaired,False,False,True,False,False,False,366,375,366,141,414,The answer is,Final Answer: The answer is,,-0.0024988516233861446,-0.009995406493544579,4,-3.859461784362793,-15.437847137451172,4,-3.859461784362793,-15.437847137451172,4,3.856962932739407,15.427851730957627,-3.8047690391540527,-15.219076156616211,4,-0.00637082988396287,-0.02548331953585148,4,-0.00637082988396287,-0.02548331953585148,4,-3.79839820927009,-15.19359283708036,-0.003106089076027274,-0.012424356304109097,4,-3.4135823249816895,-13.654329299926758,4,-3.4135823249816895,-13.654329299926758,4,3.410476235905662,13.641904943622649,-3.5215365886688232,-14.086146354675293,4,-0.005549808032810688,-0.022199232131242752,4,-0.005549808032810688,-0.022199232131242752,4,-3.5159867806360126,-14.06394712254405,-7.655361142009497,-6.926463016541675,-0.44648669683374465,0.2824114286340773,-30.621444568037987,-27.7058520661667,-1.7859467873349786,1.1296457145363092
mgsm_0011,False,stable_wrong,False,False,False,True,True,False,694,794,794,297,191,The answer is,The answer is,clean_answer_equals_swap_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgsm_0012,True,stable_wrong,False,False,False,True,False,True,13,1,0,243,998,The answer is,none_found,,-0.01585032045841217,-0.03170064091682434,2,-3.523662805557251,-7.047325611114502,2,-4.576823552449544,-13.730470657348633,3,3.507812485098839,7.015624970197678,-1.3628495931625366,-2.7256991863250732,2,-2.550349712371826,-5.100699424743652,2,-2.414287249247233,-7.242861747741699,3,1.1875001192092896,2.375000238418579,-0.009660390205681324,-0.019320780411362648,2,-2.728410482406616,-5.456820964813232,2,-3.9206692377726235,-11.762007713317871,3,2.718750092200935,5.43750018440187,-1.2923375368118286,-2.5846750736236572,2,-2.151712656021118,-4.303425312042236,2,-2.3347455660502114,-7.004236698150635,3,0.8593751192092896,1.718750238418579,-2.3203123658895493,-1.8593749729916453,-0.7890623928979039,-0.328125,-4.6406247317790985,-3.7187499459832907,-1.5781247857958078,-0.65625
mgsm_0013,True,stable_wrong,False,False,False,True,False,True,18,16,5,386,975,The answer is,none_found,,-0.005356208731730779,-0.016068626195192337,3,-5.843953609466553,-11.687907218933105,2,-4.01056448618571,-12.031693458557129,3,5.838597400734822,11.671838592737913,-1.6801425615946453,-5.0404276847839355,3,-2.727548360824585,-5.45509672164917,2,-0.5655591487884521,-1.6966774463653564,3,1.0474057992299397,0.4146690368652344,-0.003365018405020237,-0.010095055215060711,3,-4.661082744598389,-9.322165489196777,2,-3.2950318654378257,-9.885095596313477,3,4.657717726193368,9.312070433981717,-1.5970335006713867,-4.79110050201416,3,-2.071129560470581,-4.142259120941162,2,-0.7220335006713867,-2.16610050201416,3,0.47409605979919434,-0.648841381072998,-4.791191601504883,-4.183621666394174,-1.1808796745414538,-0.5733097394307454,-11.257169555872679,-9.960911815054715,-2.3597681587561965,-1.0635104179382324
mgsm_0014,True,broken,False,True,False,False,False,False,60,60,10,221,151,The answer is,The answer is,,-0.004998237515489261,-0.014994712546467781,3,-3.6766554514567056,-11.029966354370117,3,-0.004998237515489261,-0.014994712546467781,3,3.6716572139412165,11.01497164182365,-4.433187484741211,-13.299562454223633,3,-0.007838789994517962,-0.023516369983553886,3,-4.433187484741211,-13.299562454223633,3,-4.425348694746693,-13.276046084240079,-0.006546132266521454,-0.01963839679956436,3,-3.0815531412760415,-9.244659423828125,3,-0.006546132266521454,-0.01963839679956436,3,3.07500700900952,9.22502102702856,-3.8300272623697915,-11.490081787109375,3,-0.004963129758834839,-0.014889389276504517,3,-3.8300272623697915,-11.490081787109375,3,-3.8250641326109567,-11.47519239783287,-8.097005908687908,-6.900071141620477,-0.5966502049316964,0.600284562135736,-24.29101772606373,-20.70021342486143,-1.7899506147950888,1.8008536864072084
mgsm_0015,True,stable_wrong,False,False,False,True,False,True,125,96,0.0,381,434,none_found,none_found,,-1.7276268005371094,-5.182880401611328,3,-2.9408364295959473,-11.763345718383789,4,-0.831259548664093,-3.325038194656372,4,1.213209629058838,6.580465316772461,-2.0976600646972656,-6.292980194091797,3,-2.010256767272949,-8.041027069091797,4,-1.2070741653442383,-4.828296661376953,4,-0.0874032974243164,1.748046875,-1.3660484949747722,-4.098145484924316,3,-2.516120195388794,-10.064480781555176,4,-0.6887985467910767,-2.7551941871643066,4,1.1500717004140217,5.966335296630859,-2.1235291163126626,-6.370587348937988,3,-1.6323916912078857,-6.529566764831543,4,-1.1710140705108643,-4.684056282043457,4,-0.49113742510477687,0.1589794158935547,-1.3006129264831543,-1.6412091255187986,-0.06313792864481615,-0.40373412768046046,-4.832418441772461,-5.807355880737305,-0.6141300201416016,-1.5890674591064453
mgsm_0016,True,stable_wrong,False,False,False,True,False,True,230,300,460,180,713,The answer is,Final Answer: The answer is,,-0.4127902686595917,-1.6511610746383667,4,-2.3027114868164062,-9.210845947265625,4,-2.2343361377716064,-8.937344551086426,4,1.8899212181568146,7.559684872627258,-2.477562427520752,-9.910249710083008,4,-0.008342713117599487,-0.03337085247039795,4,-2.8243842124938965,-11.297536849975586,4,-2.4692197144031525,-9.87687885761261,-0.5048934817314148,-2.019573926925659,4,-2.254757881164551,-9.019031524658203,4,-2.2638463973999023,-9.05538558959961,4,1.749864399433136,6.999457597732544,-2.128208637237549,-8.512834548950195,4,-0.008285395801067352,-0.03314158320426941,4,-2.5598721504211426,-10.23948860168457,4,-2.1199232414364815,-8.479692965745926,-4.359140932559967,-3.8697876408696175,-0.1400568187236786,0.349296472966671,-17.436563730239868,-15.47915056347847,-0.5602272748947144,1.397185891866684
mgsm_0017,False,stable_correct,True,False,False,False,False,False,57500,57500,57500,357,367,The answer is,none_found,clean_answer_equals_swap_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgsm_0018,False,stable_correct,True,False,False,False,False,False,7,7,7,521,553,Final Answer: The answer is,Final Answer: The answer is,clean_answer_equals_swap_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgsm_0019,True,broken,False,True,False,False,False,False,6,6,1.5,405,401,none_found,none_found,,-0.5357444286346436,-1.071488857269287,2,-1.376516342163086,-5.506065368652344,4,-0.5357444286346436,-1.071488857269287,2,0.8407719135284424,4.434576511383057,-3.799186944961548,-7.598373889923096,2,-0.006042133085429668,-0.024168532341718674,4,-3.799186944961548,-7.598373889923096,2,-3.793144811876118,-7.574205357581377,-0.3390655219554901,-0.6781310439109802,2,-1.311741590499878,-5.246966361999512,4,-0.3390655219554901,-0.6781310439109802,2,0.9726760685443878,4.5688353180885315,-2.8962929248809814,-5.792585849761963,2,-0.01763821393251419,-0.07055285573005676,4,-2.8962929248809814,-5.792585849761963,2,-2.8786547109484673,-5.722032994031906,-4.633916725404561,-3.851330779492855,0.13190415501594543,0.9144901009276509,-12.008781868964434,-10.290868312120438,0.13425880670547485,1.852172363549471
mgsm_0020,True,stable_wrong,False,False,False,True,False,True,15,14.67,6.67,315,334,The answer is,none_found,,-0.001175864754865567,-0.007055188529193401,6,-2.27249698638916,-11.3624849319458,5,-2.9707120259602866,-8.91213607788086,3,2.2713211216342946,11.355429743416607,-0.7043434778849283,-4.22606086730957,6,-0.44410152435302735,-2.2205076217651367,5,-1.0973689556121826,-3.292106866836548,3,-0.260241953531901,-2.0055532455444336,-0.003116440027952194,-0.018698640167713165,6,-1.73681697845459,-8.68408489227295,5,-2.3595174153645835,-7.07855224609375,3,1.7337005384266377,8.665386252105236,-0.7861801783243815,-4.717081069946289,6,-0.3639090061187744,-1.819545030593872,5,-1.1799534161885579,-3.539860248565674,3,-0.42227117220560706,-2.897536039352417,-2.5315630751661957,-2.1559717106322447,-0.5376205832076568,-0.16202921867370607,-13.360982988961041,-11.562922291457653,-2.6900434913113713,-0.8919827938079834
mgsm_0021,True,stable_wrong,False,False,False,True,False,True,14,2,17,217,896,The answer is,none_found,,-0.005230428650975227,-0.010460857301950455,2,-4.335588455200195,-13.006765365600586,3,-4.163713455200195,-12.491140365600586,3,4.33035802654922,12.996304508298635,-4.4443864822387695,-8.888772964477539,2,-0.0098896324634552,-0.0296688973903656,3,-3.5150979359944663,-10.545293807983398,3,-4.434496849775314,-8.859104067087173,-0.005322589538991451,-0.010645179077982903,2,-3.4935601552327475,-10.480680465698242,3,-3.488351821899414,-10.465055465698242,3,3.488237565693756,10.47003528662026,-4.010051727294922,-8.020103454589844,2,-0.022610587378342945,-0.06783176213502884,3,-3.124173164367676,-9.372519493103027,3,-3.987441139916579,-7.952271692454815,-8.764854876324534,-7.475678705610335,-0.842120460855464,0.44705570985873555,-21.85540857538581,-18.422306979075074,-2.526269221678376,0.9068323746323586
mgsm_0022,False,stable_correct,True,False,False,False,False,False,7,7,7,232,718,The answer is,The answer is,clean_answer_equals_swap_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgsm_0023,False,stable_correct,True,False,False,False,False,False,8,8,8,367,471,Final Answer: ,Final Answer: ,clean_answer_equals_swap_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgsm_0024,False,stable_correct,True,False,False,False,False,False,26,26,26,150,187,The answer is,答案是:,clean_answer_equals_swap_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgsm_0025,False,stable_correct,True,False,False,False,False,False,2,2,2,357,680,The answer is,The answer is,clean_answer_equals_swap_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgsm_0026,False,stable_correct,True,False,False,False,False,False,243,243,243,155,173,The answer is,The answer is,clean_answer_equals_swap_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgsm_0027,True,stable_wrong,False,False,False,True,False,True,16,240,16.00,283,503,The answer is,Final Answer: The answer is,,-0.020994452759623528,-0.08397781103849411,4,-2.7151273091634116,-16.29076385498047,6,-4.208323796590169,-12.624971389770508,3,2.694132856403788,16.206786043941975,-3.168013572692871,-12.672054290771484,4,-0.42847005526224774,-2.5708203315734863,6,-0.5527538458506266,-1.6582615375518799,3,-2.7395435174306235,-10.101233959197998,-0.018009882420301437,-0.07203952968120575,4,-2.2835073471069336,-13.701044082641602,6,-3.4164673487345376,-10.249402046203613,3,2.265497464686632,13.629004552960396,-2.6393561363220215,-10.557424545288086,4,-0.2943014899889628,-1.7658089399337769,6,-0.38354821999867755,-1.1506446599960327,3,-2.345054646333059,-8.791615605354309,-5.433676373834412,-4.610552111019691,-0.4286353917171559,0.3944888710975647,-26.308020003139973,-22.420620158314705,-2.577781490981579,1.309618353843689
mgsm_0028,True,broken,False,True,False,False,False,False,25,25,35,309,243,The answer is,答案是:,,-0.0018120367700854938,-0.005436110310256481,3,-3.425628344217936,-10.276885032653809,3,-0.0018120367700854938,-0.005436110310256481,3,3.4238163074478507,10.271448922343552,-3.2468627293904624,-9.740588188171387,3,-0.0022557051852345467,-0.00676711555570364,3,-3.2468627293904624,-9.740588188171387,3,-3.244607024205228,-9.733821072615683,-0.002392379567027092,-0.007177138701081276,3,-2.763993581136068,-8.291980743408203,3,-0.002392379567027092,-0.007177138701081276,3,2.7616012015690408,8.284803604707122,-2.6278645197550454,-7.883593559265137,3,-0.0042016686250766115,-0.012605005875229836,3,-2.6278645197550454,-7.883593559265137,3,-2.6236628511299687,-7.870988553389907,-6.668423331653079,-5.385264052699009,-0.6622151058788099,0.6209441730752592,-20.005269994959235,-16.15579215809703,-1.9866453176364303,1.8628325192257762
mgsm_0029,True,stable_wrong,False,False,False,True,False,True,104,94,99,219,892,The answer is,none_found,,-0.002833943193157514,-0.008501829579472542,3,-4.044500668843587,-12.133502006530762,3,-3.4431967735290527,-13.772787094116211,4,4.04166672565043,12.12500017695129,-2.976203282674154,-8.928609848022461,3,-1.382453441619873,-4.147360324859619,3,-2.640597343444824,-10.562389373779297,4,-1.5937498410542807,-4.781249523162842,-0.0036179680998126664,-0.010853904299438,3,-2.8942432403564453,-8.682729721069336,3,-2.8325915336608887,-11.330366134643555,4,2.890625272256633,8.671875816769898,-2.9943440755208335,-8.9830322265625,3,-1.145385503768921,-3.4361565113067627,3,-2.2941060066223145,-9.176424026489258,4,-1.8489585717519126,-5.546875715255737,-5.635416566704711,-4.739583844008545,-1.151041453393797,-0.25520873069763184,-16.90624970011413,-14.218751532025635,-3.4531243601813912,-0.7656261920928955
mgsm_0030,True,stable_wrong,False,False,False,True,False,True,109,10,9,314,756,The answer is,none_found,,-0.7862040201822916,-2.358612060546875,3,-0.6779052019119263,-1.3558104038238525,2,-1.4799282550811768,-5.919713020324707,4,-0.10829881827036536,-1.0028016567230225,-0.9012982050577799,-2.70389461517334,3,-0.6194245219230652,-1.2388490438461304,2,-1.3197981119155884,-5.2791924476623535,4,-0.2818736831347147,-1.4650455713272095,-0.7175246874491373,-2.152574062347412,3,-0.5482813715934753,-1.0965627431869507,2,-1.395052433013916,-5.580209732055664,4,-0.169243315855662,-1.0560113191604614,-0.8108661969502767,-2.43259859085083,3,-0.6872441172599792,-1.3744882345199585,2,-1.2154440879821777,-4.861776351928711,4,-0.12362207969029748,-1.0581103563308716,-0.17357486486434937,0.04562123616536451,-0.06094449758529663,0.15825160344441724,-0.462243914604187,-0.0020990371704101562,-0.053209662437438965,0.4069352149963379
mgsm_0031,True,repaired,False,False,True,False,False,False,80,3,80,846,456,none_found,Final Answer: The answer is,,-3.695493698120117,-7.390987396240234,2,-2.380075295766195,-7.140225887298584,3,-2.380075295766195,-7.140225887298584,3,-1.3154184023539224,-0.2507615089416504,-5.252026557922363,-10.504053115844727,2,-0.01698322594165802,-0.05094967782497406,3,-0.01698322594165802,-0.05094967782497406,3,-5.235043331980705,-10.453103438019753,-3.157949209213257,-6.315898418426514,2,-2.0002284049987793,-6.000685214996338,3,-2.0002284049987793,-6.000685214996338,3,-1.1577208042144775,-0.3152132034301758,-4.844052791595459,-9.688105583190918,2,-0.01063711072007815,-0.03191133216023445,3,-0.01063711072007815,-0.03191133216023445,3,-4.8334156808753805,-9.656194251030684,-3.919624929626783,-3.675694876660903,0.15769759813944484,0.4016276511053247,-10.202341929078102,-9.340981047600508,-0.06445169448852539,0.796909186989069
mgsm_0032,False,stable_correct,True,False,False,False,False,False,35,35,35,184,197,The answer is,答案是:,clean_answer_equals_swap_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgsm_0033,False,stable_correct,True,False,False,False,False,False,70,70,70,149,550,The answer is,Final Answer: The answer is,clean_answer_equals_swap_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgsm_0034,False,stable_correct,True,False,False,False,False,False,23,23,23,277,755,The answer is,Final Answer: The answer is,clean_answer_equals_swap_answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mgsm_0035,True,broken,False,True,False,False,False,False,9,9,36,204,411,The answer is,Final Answer: The answer is,,-0.0026802988722920418,-0.0053605977445840836,2,-5.005804379781087,-15.017413139343262,3,-0.0026802988722920418,-0.0053605977445840836,2,5.003124080908795,15.012052541598678,-2.1400034427642822,-4.2800068855285645,2,-2.076293627421061,-6.228880882263184,3,-2.1400034427642822,-4.2800068855285645,2,-0.06370981534322118,1.9488739967346191,-0.0040536904707551,-0.0081073809415102,2,-4.386080423990886,-13.158241271972656,3,-0.0040536904707551,-0.0081073809415102,2,4.382026733520131,13.150133891031146,-2.224316358566284,-4.448632717132568,2,-1.7677650451660156,-5.303295135498047,3,-2.224316358566284,-4.448632717132568,2,-0.45655131340026855,0.8546624183654785,-5.066833896252016,-4.838578046920399,-0.6210973473886643,-0.3928414980570474,-13.063178544864058,-12.295471472665668,-1.8619186505675316,-1.0942115783691406
